"Comment","Designator","Footprint","LCSC Part #"
"ESP32-WROOM-32","U2","QFN-38_EP_18.0x25.0x1.27P","C82899"
"10k","R3 R1 R13 R15 R10 R11 R7 R4 R5 R2 R9 R16 R18 R17 R21 R14","0603","C25804"
"TLV1117-33","U11","SOT-223","C15578"
"Conn_01x30_Female","J4","30P","C11095"
"2k2","R20","R0603","C113303"
"MCP73831-2-OT","U8","SOT-23-5","C14879"
"10µ","C17 C18 C21 C23 C6 C29 C32","0603","C19702"
"100n","C24 C3 C27 C30 C16 C15 C2 C20 C10 C8 C5 C11 C14 C12 C13 C7 C4 C1 C9","0603","C14663"
"4,7µ","C25 C26","0603","C19666"
"1µ","C22 C19","0603","C15849"
"56","R26","0603","C25196"
"1N4148WT","D16 D17","SOD-523","C393518"
"560k","R27","0603","C23203"
"RJ45_Shielded","J1","RJ45-TH","C464587"
"Micro_SD_Card","J2","14.5x14.75x1.85mm","C266621"
"LIS2DE12","U1","LGA-12_2.0x2.0x0.5P","C189624"
"LED-RED","D14","LED_0805","C84256"
"LED-GREEN","D15","LED_0805","C2297"
"470","R22 R23","R0603","C116694"
"WS2812B","D2 D8 D6 D10 D13 D11 D12 D5 D3 D1 D7 D4","4.0x2.0mm","C965557"
"TLV70018_SOT23-5","U9","SOT-23-5","C79924"
"S8050","Q2 Q1","SOT-23-3","C2146"
"TXB0104RUT","U5 U4","UQFN-12_1.7x2.0x0.4P","C105266"
"L_Core_Iron","L1","1210","C86070"
"D","D18","DO-214AC","C2480"
"22µF","C28 C31","0603","C59461"
"620k 1%","R28","0603","C23219"
"30k 1%","R29","0603","C22984"
"SDB628","U10","SOT-23-6L","C77805"
"SW_SPST","SW2","SW-SMD","C319020"
"100k","R25","0603","C25803"
"300k","R24","0603","C23024"
"Battery","J3","",""
"10","R19","0603","C22859"
"100","R8 R12","0603","C22775"
"82","R6","0603","C4275"
